experiment_id,pipeline_name,node_name,model_variant,cpu_request,gpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
65,video,yolo,yolov5l,5,16,4Gi,4,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
66,video,yolo,yolov5l,5,16,4Gi,4,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
67,video,yolo,yolov5l,5,16,4Gi,4,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
68,video,yolo,yolov5l,5,16,4Gi,4,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
69,video,yolo,yolov5l,5,16,4Gi,4,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
70,video,yolo,yolov5l,5,16,4Gi,4,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
71,video,yolo,yolov5l,5,16,4Gi,8,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
72,video,yolo,yolov5l,5,16,4Gi,8,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
73,video,yolo,yolov5l,5,16,4Gi,8,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
74,video,yolo,yolov5l,5,16,4Gi,8,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
75,video,yolo,yolov5l,5,16,4Gi,8,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
76,video,yolo,yolov5l,5,16,4Gi,8,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
77,video,yolo,yolov5l,5,16,4Gi,8,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
78,video,yolo,yolov5l,5,16,4Gi,16,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
79,video,yolo,yolov5l,5,16,4Gi,16,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
80,video,yolo,yolov5l,5,16,4Gi,16,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
81,video,yolo,yolov5l,5,16,4Gi,16,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
82,video,yolo,yolov5l,5,16,4Gi,16,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
83,video,yolo,yolov5l,5,16,4Gi,16,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
84,video,yolo,yolov5l,5,16,4Gi,16,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
85,video,yolo,yolov5l,5,16,4Gi,32,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
86,video,yolo,yolov5l,5,16,4Gi,32,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
87,video,yolo,yolov5l,5,16,4Gi,32,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
88,video,yolo,yolov5l,5,16,4Gi,32,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
89,video,yolo,yolov5l,5,16,4Gi,32,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
90,video,yolo,yolov5l,5,16,4Gi,32,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
91,video,yolo,yolov5l,5,16,4Gi,32,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
92,video,yolo,yolov5l,5,16,4Gi,64,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
93,video,yolo,yolov5l,5,16,4Gi,64,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
94,video,yolo,yolov5l,5,16,4Gi,64,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
95,video,yolo,yolov5l,5,16,4Gi,64,1,30,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
96,video,yolo,yolov5l,5,16,4Gi,64,1,40,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
97,video,yolo,yolov5l,5,16,4Gi,64,1,80,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
98,video,yolo,yolov5l,5,16,4Gi,64,1,160,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
99,video,yolo,yolov5x,5,16,4Gi,1,1,1,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
100,video,yolo,yolov5x,5,16,4Gi,1,1,5,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
101,video,yolo,yolov5x,5,16,4Gi,1,1,10,60,111,Experiments with only using quarter of a GPU(2 instances) - third experiment,1,False,exponential,image,1
